A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.294	Zašto ne postoji hiper-hiperkohomologija?	Tražim referenc za odgovor na pitanje u naslovu. Pokušavam malo objasniti što mislim: ako je jedan razboj $\mathscr F$ rezolucija $\mathscr G^\bullet$ ne nužno injektivnim predmetima, onda je uobičajena kohomologija $\mathscr F$ isomorfna hiperkohomologiji $\mathscr G^\bullet$: $$ H^i(X, \mathscr F) \cong \mathbb H^i(X,\mathscr G^\bullet). $$ Sada, ako je netko počeo sa kompleksom razboj $\mathscr F^\bullet$ i "razvoj" njezine, odnosno kompleksom $(\mathscr G^\bullet)^\bullet$ kompleksova, onda bi se trebao dotaknuti koncepta koji bi se mogao nazvati hiper-hiperkohomologija. Ipak, nikada nisam čuo za njegovo postojanje i prilično sam siguran da vam to ne daje ništa novo, jer radite u izvedenoj kategoriji.	sheaf-cohomology,derived-categories
A.295	Pomoć za izračun serija	Trebam pomoć u razumijevanju kako riješiti ovaj zadatak, jer sam malo izgubljen u ovom trenutku.	summation,power-series
A.296	Malo zbunjen zbog Taylorove serije $e^x$	Znamo da je $$ e^x=\sum_{n=0}^{\infty}\frac{x^n}{n!},x\in \mathbb R, $$ što se može napisati $$ e^x=\frac {x^0}{0!}+\frac {x^1}{1!}+\frac {x^2}{2!}+\cdots, $$ ali $0^0$ nije dobro definirano.	taylor-expansion,exponential-function
A.297	Teško pitanje	Ja sam zbunjen u vezi problema domaćeg posla koji imam, i ne znam gdje početi. Moram dokazati ovo. bilo kakva ideja gdje mogu početi.	totient-function
A.298	Promenljiva transformacija Diracove funkcije delta	U kontekstu moje fizičke probleme, radi interesa zainteresirane publike, $H(z)$ je Hubbleov parametar svemira dok je $\chi(z)$ udaljenost koja se kreće, a $z$ je crveni pomak bilo kojeg vremena u prošlosti. Dakle, dopustite mi da dođem do toga što sam do sada dobio: počinjem definiranjem Diracove delte u obliku jedinične funkcije korak $\Theta (a\chi(z)-b)$as, $$\frac{d}{d(a\chi(z))}\Theta(a\chi(z)-b)=\delta(a\chi(z)-b)$$ Zatim pretvaranjem ovog pravila u obliku z koristeći lančane funkcije $$\delta(a\chi(z)-b) \rightarrow \delta(z-c)$$2.	transformation,dirac-delta,change-of-variable
A.299	Dokazati $\cos \frac{\pi}5-\cos \frac{2 \pi}5=\frac12$ ali ne pronaći $\cos \frac{ \pi}5$	Mogu pronaći vrijednost $\cos \left(\frac{ \pi}{5}\right)$, ali postoji li način da dokažem jednaku vrijednost bez pronalaska?	trigonometry,proof-writing,alternative-proof
A.300	Jednostavan kontinuitet ili ne?	Dakle, trebao sam saznati je li $$f(x)=\frac{1}{1+\ln^2 x}$$ jednako kontinuiran na $I=(0,\infty)$ Pa sam razmišljao puno. Mogu li reći da je $f$ kontinuiran na $[0,1]$ i stoga jednako kontinuiran ovdje? Ili je to nevaljan, jer $\ln$ nije definiran na $x=0$?	uniform-continuity
A.301	Nejednakost između norme 1, norme 2 i norme $\infty$ matričnih	Pretpostavimo da je $A$ matrica $m\times n$. Zatim dokazati da, $\begin{equation*} \|A\|_2\leq \sqrt{\|A\|_1 \|A\|_{\infty}} \end{equation*}$ Ja dokazao sljedeće odnose: $\begin{align*} \frac{1}{\sqrt{n}}\|A\|_{\infty}\leq \|A\|_2\leq\sqrt{m}\|A\|_{\infty}\\ \frac{1}{\sqrt{m}}\|A\|_{1}\leq \|A\|_2\leq\sqrt{n}\|A\|_{1} \end{align*}$ Također osjećam da nekako Holderova nejednakost za poseban slučaj kada $p=1$ i $q=\infty$ možda biti korisna.Ali nisam mogao dokazati da.	linear-algebra,matrices,inequality,norm,holder-inequality
A.302	$n$. korijen kompleksnog broja	S $w=se^{i{\phi}}$, gdje $s\ge 0$ i $\phi \in \mathbb{R}$, riješite jednadžbu $z^n=w$ u $\mathbb{C}$ gdje $n$ je prirodni broj. Koliko rješenja ima? Sada je moj pristup jednostavno uzimajući $n$-te korijene koja daje $$z=\sqrt[n]{s}e^{\frac{i\varphi}{n}}$$. Međutim, čini se da nas ovaj problem traži da pokažemo postojanje $n$-te korijene. Mogu li pretpostaviti da $n$-te korijene složenog broja već postoje?	real-analysis,calculus,complex-analysis,analysis
A.303	Broj ne-komutativnih Lie algebra dimenzije 2	Teorema- Do izomorfizma, jedina ne-komutativna Lie algebra dimenzije 2 je da je s temeljem $x , y$ i parketom određeno $[x,y] = x$. Razumijem da su svi vektorski prostori dimenzije 2 na polju $K$ izomorfni jedni prema drugima. Dakle, broj lažnih algebra dimenzije 2 u polju $K$ određuje se brojem mogućih bilinearskih operacija [ ]$:\ V \ X \ V  \rightarrow V$ koji zadovoljavaju uvjete $a)$ $[x,x]=0$ za sve $x\in V$ $b)$ $[x,[y,z]]+[y,[z,x]]+[z,[x,y]]=0$ za sve $x , y$0 Bilinearne operacije na drugu stranu određuje se elementima na koje su par baznih elemenata mapirani u bilinearskoj operaciji.	lie-algebras,noncommutative-algebra
A.304	Primjerični dokaz da neorijentabilni mnoštvo stvarne dimenzije $2$ ne dopušta kvazi-kompleksnu strukturu.	Postoji li lak dokaz da neorijentabilna stvarna površina $X$ ne priznaje kvazi-kompleksnu strukturu? dokaz koji znam je da se posmatra da svaka kvazi-kompleksna struktura na stvarnoj površini $X$ nužno zadovoljava uvjet integrabilnosti $$[T_X^{0,1}, T_X^{0,1}] \subset T_X^{0,1}$$ Newlander-Nirenbergove teoreme, jer je $T_X^{0,1}$ $1$-dimenzionalni kompleksni vektorski paket, a okružnica $[-,-]$ se izmjenjuje, odnosno nestane na $T_X^{0,1}$. Dakle, prema Newlander-Nirenbergovom teoremu, $X$ priznaje kompleksnu strukturu, a kompleksni manifoldovi moraju biti orientirani. Međutim, Newlander-Nirenkillbergov teorem je dubok i osjeća se malo pretjeran. Ne vidim zašto ne može postojati stvarno kvazi-kompleksna struktura.	algebraic-geometry,reference-request,complex-geometry
A.305	Koja će biti vrijednost funkcije podova $\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^N\frac{1}{2^r}\right\rfloor$	Što bi vrijednost funkcije pod $\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^N\frac{1}{2^r}\right\rfloor$ bila $1$ ili $0$? Formula koju koristim za ovo je ta beskonačne zbirne nizove koja je $\frac{a}{1-r}$ ali nemam pojma kako da saznam što bi vrijednost pod izričja gore. P.s Ja sam srednjoškolca pa molim vas objasnite u jednostavnim terminima, i da znam osnovne kalkulacije.	summation
A.306	O iracionalnosti Eulerove Mascheronijeve konstante	$$ B = \gamma + \sum_p \left\{ \log\left( 1 - \frac 1p\right) + \frac 1p\right\}$$ Ovo je to proširenje. Sada ne razumijem zašto je teško dokazati iracionalnost Eulerovog Mascheronijevog konstanta. Budući da imamo beskonačno mnogo pravih brojeva, suma svih tih pravih u gore navedenom jednadžbi, ako konvergije moraju biti iracionalna, onda zašto se ne smatra kao dokaz iracionalnosti?	irrational-numbers,euler-mascheroni-constant
A.307	Carmichaelova funkcija i najveći množenik modulo n	Po definiciji, Carmichaelova funkcija kartiše $a $ pozitivan cijeli broj $n$ na najmanji pozitivan cijeli broj $t$ tako da $a^t\equiv1\pmod n$ za sve čitav broj $a$ sa $\gcd(a,n)=1$. označava se kao $\lambda(n)$. Wikipedia stranica na Carmichaelova funkcija kaže da $\lambda(n)=\max\{\operatorname{ord}_n(a):\gcd(a,n)=1\}$. Moje pitanje je: zašto je to istina? Drugim riječima, zašto je slučaj da uvijek postoji čitav broj $x$ koprime $n$ s $a $0?	elementary-number-theory,carmichael-function
A.308	Riemannova definicija zeta funkcije	Riemann je u svom radu iz 1859. godine izvodio integralnu reprezentaciju $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ koja je valjana za $\mbox{Re}(s)\gt 1$, a zatim je modifikovao integral kako bi definirao funkciju koja je definirana za sve složene vrijednosti $s$, osim $s=1$, gdje ima jednostavan pol. Širenje je dato $$\zeta(s)=\frac{\Gamma(1-s)}{2\pi i}\int_C \frac{(-z)^s}{e^z-1}\frac{dz}{z}$$ gdje je $C$ "Hankel kontor", odnosno put koji putuje od $+\infty $ na malu udaljenost iznad pozitivne osi $x$-a, kruže oko izvora jednom u pravcu protivvremnog sata s malom radijem $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$0, i vraća se na $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$1 putujući na $\epsilon$ po pravnoj osi. Uzimanje granice kao $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$2 i prelazak razdaljenosti može vidjeti kako se $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$4 lako menja, a onda možemo vidjeti kako se $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$5 razvija, a onda možemo provesti integralnu identitet, a onda možemo razmotriti integralnu vrijednost počevši od početka na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku, ali ne možemo znati zašto se počinje na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku na početku, a ako se na kraju na kraju na kraju na kraju na kraju na kraju na kraju na kraju na kraju na početku na početku na početku na početku na početku na početku na početku na početku na početku 	contour-integration,riemann-zeta
A.309	Broj rješenja jednačine na krajnjem polju	Imam pitanje u vezi s brojem rješenja jednačine nad krajnjim poljem $\mathbb{F}_p$. Prvo, razmislite o jednačnici $x^3=a$ nad $\mathbb{F}_p$, gdje je $p$ prvočlan tako da je $p\equiv 2 (\text{mod }3)$. Knjiga koju trenutno čitam kaže da ova jednačnjava ima točno jedno rješenje u $\mathbb{F}_p$ za svaki $a\in \mathbb{F}_p$, jer $\gcd(3,p-1)=1$, ali knjiga to ne dokazuje. Nažalost, to me ne uvjerava dovoljno. Postoji li uvjerljiv elementarni jednostavan dokaz koji opravdava zašto je to istina?	number-theory,elementary-number-theory,finite-fields
A.310	Pronaći rješenja za pozitivan celog broja $\frac{4}{x}+\frac{10}{y}=1$	Nađite pozitivne čitavostne rješenja za: $\frac{4}{x} + \frac{10}{y} = 1$ Ja sam izračunao rješenja ručno, ali to je bio vrlo naporan proces.	elementary-number-theory,solution-verification
A.311	S obzirom na funkciju $f(x)=\frac{9^{x}}{9^x+3}$, što je $f(\frac{1}{27})+ f(\frac{2}{27}) + f(\frac{3}{27})+ ...+ f(\frac{26}{27})$?	Dok sam prolazio kroz prošle olimpijske matematičke radove, našao sam ovo pitanje bez ikakvog objašnjenja. Evo pitanja: uzimajući u obzir funkciju $f(x)=\frac{9^{x}}{9^x+3}$, što je $f(\frac{1}{27})+ f(\frac{2}{27}) + f(\frac{3}{27})+ ...+ f(\frac{26}{27})$? Odgovor je bio 13. Uzeo sam stvarno loš pristup i pretvorio $\frac{9^{x}}{9^x+3}$ u $1+\frac{9^{x}}{3}$, što sam onda primijetio da je pogrešno. Također sam slučajno pomnožio $9^{\frac{1}{27}}$ sa $9^{\frac{2}{27}}$, $9^{\frac{2}{27}}$ s $9^{\frac{3}{27}}$, itd., prije nego sam shvatio da su funkcije dodane, a ne pomnožene. Sumnjam da postoji nešto u snazi $\frac{n}{27}$, jer je 9 množica 27. Međutim, nisam potpuno siguran. Postoji li zakon koji mi govori kako da riješim ovo pitanje? Budući da je to matematički olimpijski pitanje, vjerojatno postoji maksimalni vremenski limit od pet minuta za obavljanje ovog pitanja. To znači da vjerojatno neću imati vremena za dosadne matematičke izračune s brzim kalkulatorom i nekim odgovarajućim online alatima. Molim vas, daj mi rješenje, koje je vjerojatno na 8. razini, najbrže rješenje za 10. razred.	functions,contest-math,power-series,fractions
A.312	U skladu s člankom 1. stavkom 1. stavkom 1.	$$\left\lfloor \frac{\left\lfloor \dfrac{a}{b} \right\rfloor}{c} \right\rfloor = \left\lfloor \frac{a}{bc} \right\rfloor$$ za $a,b,c \in \mathbb{Z}^+$ ne znam da li nešto radim pogrešno, ali ne mogu dokazati iako sam prilično siguran da je to istina. Očito, jer koncept algebre nije svjestan činjenice da ograničujemo promjenljive na pozitivne celine, i s obzirom na moju pretpostavku da jednakost ne važi nužno za ne-celine, potreban je element ne-algebričkog rješavanja problema, odnosno promjena izraza s obzirom na naše znanje tog stanja, što zatim omogućuje algebričke manevre koji pokazuju da jednakost drži. Mislim da mi to nedostaje. Hvala.	elementary-number-theory,proof-writing,ceiling-and-floor-functions
A.313	Neka $a,b\in G$, konačna abelijanska grupa i $|a|=r, |b|=s$ s $\gcd(r,s)=1$.	$a,b\in G$ je krajnja abelijanska grupa i $|a|=r, |b|=s$ je krajnja abelijanska grupa. $\gcd(r,s)=1$ je konačan abelijanski. $|ab|=rs$. Moj pokušaj: $|ab|=n$. Budući da je $G$ abelijanski, $(ab)^n=a^nb^n=1$. Dakle, $r\mid n$ i $s\mid n$. Zajedno s $\gcd(r,s)=1$. slijedi da sam u tome.	group-theory,finite-groups,abelian-groups
A.314	Zatvoreni spain sekvencije u Hilbertovim prostorima.	Pretpostavimo da imate ortonomsku osnovu $\{e_n\}$ u Hilbertovom prostoru, kao da je $\sum \|e_n-x_n\| < 1$. Da li je ovo dovoljno da dokažemo da je zatvoreni razpon $\{x_n\}$ $H$? Moj napor da dokažem to nije doveo nikamo obećavajuće. Pokušao sam pokazati da je jedini vektor koji je visoki prema svim $x_n$ $0$. Nisam siguran kojim putem mogu nastaviti.	functional-analysis,hilbert-spaces
A.315	Indukcija u potrazi za povratkom (vježba 2.2.6) Analiza 1 Terence Tao	Želim pokazati svoj "dokaz" povratne indukcije jer imam neke poteškoće u razumijevanju toga. Želim sada ako je moj dokaz u pravu ili imam neku pogrešku, jer ako jesam,$a $ ne može to zaključiti. Bilo kakav povratak je cijenjen. Neka $n$ bude prirodni broj, a neka $P(m)$ bude svojstvo prirodne brojeve tako da kad je $P(m\text{++})$ istina, onda je $P(m)$ istina. Pretpostavimo da je $P(n)$ također istina. Ispostavimo da je $P(m)$ istina za sve prirodne brojeve $m ≤ n$; to je poznato kao princip povratne indukcije. (Nauze: primjenite indukciju na promjenljivu $n$.) Prvo želim pokazati $P(m)$ je istina $\forall$8. H1: $\forall m$2: $a $1: $a $5: $\forall$23: $a $2: $a $2: $a $2: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$1: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: $n$3: XXT) - $n$3: $	real-analysis,solution-verification,induction
A.316	Multiplikativ grupe parnih brojeva modulo moć dva	Želim razumjeti skupinu jedinica u ringu $\mathbb{Z}/2^m \mathbb{Z}$ za pozitivne celine $m$. Očekuje se da je to već bilo odgovoreno ovdje na MSE-u, ali do sada automatski prijedlozi nisu ga pojačali. Evo što razumijem: to je abelijanska skupina, stoga proizvod cikličnih. Također je redoslijed ove grupe $2^{m-1}$ tako da su redoslijedi faktora u proizvodu sve snage dva Lagrangeovom teoremom. Sada su ovi uvjeti dovoljno ograničavajuci da se izračunaju prva nekoliko slučajeva ručno. Imamo $(\mathbb{Z}/2 \mathbb{Z})^* = C_1$, $(\mathbb{Z}/4 \mathbb{Z})^* = C_2$, $(\mathbb{Z}/8 \mathbb{Z})^* = C_2 \times C_2$, $(\mathbb{Z}/16 \mathbb{Z})^* = C_2 \times C_4$, $(\mathbb{Z}/32 \mathbb{Z})^* = C_2 \times C_8$. Počinjem vjerovati da za $m > 1$ imamo taj $\mathbb{Z}/2^m \mathbb{Z}$0 ali postoji li jednostavno konceptualno objašnjenje za to (ako je istina)?	elementary-number-theory
A.317	U skladu s člankom 1.	Računati sljedeći integral: $$\int \frac{1}{\left(x^2+1\right)^n}dx$$ Ja dobio da je za $$n=1$$ vrijednost integral je $$\tan^{-1}x+C$$ i za $$n=2$$ $$x\left(\frac{1}{2\left(x^2+1\right)}+\frac{\tan \:^{-1}}{2x}\right)+C$$ Kako učiniti ostatak slučajeva?	integration
A.318	Kako dokazati $e^{x} \geq \left(1+\frac{x}{n}\right)^{n}$ za $n \geq 1$	Kako dokazati $e^{x} \geq \left(1+\frac{x}{n}\right)^{n}$ za $n \geq 1$? Mogu dokazati to za prirodne brojeve samo indukcijom, ali kako dokazati ovo za bilo koji pravi $n \geq 1$? Počinjemo s osnovnim slučajem $n=1$. Imamo $e^x \geq 1+x$ različitim metodama. Za indukcijski korak, pretpostavimo $e^{x} \geq \left(1+\frac{x}{n}\right)^{n}$. primjetite da uz derivan $(1+\frac{x}{n+1})^{n+1}$ daje $(1+\frac{x}{n+1})^{n}$ i tako $(1+\frac{x}{n+1})^{n} < \left(1+\frac{x}{n}\right)^{n} \leq e^x = \frac{d}{dx} e^x$. Nisam siguran kako proširiti ovo na slučaj ne-čistočnog. Bilo kakva pomoć bi bila cijena.	calculus
A.319	Pogrešan argument za $\mathbb{R}$ je brojabilna	Pretpostavimo da je $A$ skup svih brojivih podmještaja skup realnih brojeva. Znamo da je $A$ djelomično redoviti skup $(A, \subseteq)$. Pretpostavimo da je $$A_1 \subseteq A_2 \subseteq \ldots \subseteq A_n \subseteq A_{n+1} \subseteq \ldots$$ lanc u $A$. Možemo dokazati da je $B=\bigcup_{n \in \Bbb{N}} A_n$ brojivi skup. Za svaki prirodni broj $m$ imamo $A_m \subseteq B$. Dakle, $B$ je gornja granica za $A$. To pokazuje da svaki lanc u $A$ ima gornju granicu prema Zornovoj lemmi. $A$ ima maksimalni element $X$, a znamo da je $X$ brojivi skup. Sada dokažemo $X = \Bbb{R}$. Ako je $A$0, onda postoji $A$1 takav da je $A$2. Neka je $A$3. Očito da je $A$4 brojivi podmještaj realnih brojeva i $A$5. To je u suprotnosti s $X$ što je maksimalni element. Dakle, $X = \Bbb{R}$ i $A$6 je brojivi skup. Što je s ovim argumentom?	elementary-set-theory,cardinals
A.320	Neovisno o tome, ne postoji nijedna teorija koja bi mogla biti u skladu s tim.	Dakle, moj integral je $$\int_{0}^{1}\frac{\sin^{-1}(x)}{x}$$ Da se izbjegne zbunjenost dopustite mi da ponovno napišem integral kao $$\mathcal I = \int_0^1 \frac{\arcsin(x)}{x}$$ Počela sam s trig-substitucija koja je dopustila $x = \sin(t)$ i $t = \arcsin(x)$ što znači da $dx = \cos(t) dt$ Dakle, naš integrand postaje $$\mathcal I = \int_0^{\frac{\pi}{2}} \frac{t}{\sin(t)} \cos(t) dt\tag{Bounds have changed}$$ $$= \int_0^{\frac{\pi}{2}} t\space\cot(t) dt$$ Onda koristeći integraciju po dijelovima,$\space$$u = t$ $\implies du = dt$$\int_{0}^{1}\frac{\sin^{-1}(x)}{x}$$0dv = \cot(t)$ $\implies v = \ln(\sin(t))$$\int_{0}^{1}\frac{\sin^{-1}(x)}{x}$$1= t\space\ln(((($$\int_{0}^{1}\frac{\sin^{-1}(x)}{x}$$20$$\int_{0}^{1}\frac{\sin^{-1}(x)}{x}$$3\frac{\pi}{2}$ $$$\int_{0}^{1}\frac{\sin^{-1}(x)}{x}$$4 Odatle, ne znam kako dalje.	integration,definite-integrals,trigonometric-integrals
A.321	Rješite jednadžbu $ax+by=d$ gdje je $d \neq \gcd(a,b)$ pomoću Bézout	$3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $\gcd(3,4)=1$ je u redu. $3(6) + 4(-1) =14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $\gcd(3,4)=1$ je u redu. $\gcd(3,4)=1$ je u redu. $3(6) + 4(-1) =14$ je u redu. $3(6) + 4(-1) =14$ je u redu. $3(6) + 4(-1) =14$ je u redu. $3(6) + 4(-1) =14$ je u redu. $3(6) + 4(-1) =14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu. $3x+4y=14$ je u redu.	elementary-number-theory,solution-verification
A.322	Kako izračunati zbir zbir trokutnih brojeva?	Kao što znamo, trokutni brojevi su niz definiran $\frac{n(n+1)}{2}$. I to su prvi nekoliko termina $1,3,6,10,15...$. Sada želim izračunati zbirku sume trokutnih brojeva. Definiramo $$a_n=\frac{n(n+1)}{2}$$ $$b_n=\sum_{x=1}^na_x$$ $$c_n=\sum_{x=1}^nb_x$$ I želim eksplicitnu formuli za $c_n$. Nakon neke istraživanja, pronašao sam eksplicitnu formuli za $b_n=\frac{n(n+1)(n+2)}{6}$. Vidjeti uzorke iz $a_n$ i $b_n$, pretpostavio sam da eksplicitna formula za $c_n$ bi bila $\frac{n(n+1)}{2}$0 ili $\frac{n(n+1)}{2}$1. Onda sam pokušao uključiti te dvije potencijalne jednadžbe, Ako $\frac{n(n+1)}{2}$2, $\frac{n(n+1)}{2}$3, $\frac{n(n+1)}{2}$4, $\frac{n(n+1)}{2}$5. Dakle, možemo sigurno znati da je druga jednadžba pogrešna. Ako $\frac{n(n+1)}{2}$6, $\frac{n(n+1)}{2}$7, $\frac{n(n+1)}{2}$8. XX XX je dosad ispravna. Ako $\frac{n(n+1)}{2}$9, $1,3,6,10,15...$0, $1,3,6,10,15...$1.	sequences-and-series,triangular-numbers
A.323	Kako koristiti euklidski algoritam za pronalaženje obrnutoga $\overline{x^2 -x}$ u $(\mathbb{R} [x]/(x^4 + 1))^*$?	Pokušao sam mnogo s Euclidovim algoritmom, ali još uvijek ne mogu shvatiti. Znate li kako mogu koristiti Euclidski algoritam da pronađem obrnuto mjesto $\overline{x^2 -x}$ u $(\mathbb{R} [x]/(x^4 + 1))^*$? Hvala unaprijed!	abstract-algebra,ring-theory,inverse,euclidean-algorithm
A.324	Dvostruki problem u Bazelu	Nakon što sam se malo borio s tim, uspjela sam općeniti pokazati rezultat koji je ovdje prikazan.	sequences-and-series,fourier-series,harmonic-numbers
A.325	Nađi zaporedne kompozite brojeve	Kako pronaći 100 uzastopnih kompozitivnih brojeva? Nakon mnogih pokušaja došao sam do zaključka da za pronalaženje $m$ uzastopnih kompozitivnih brojeva možemo koristiti ovaj $n!+2, n! +3, ..., n! + n$ gdje je $n! + 2$ podijeljen $2$, $n! + 3$ podijeljen $3$ i tako dalje... i gdje je $m$ = $n-1$ Dakle $n!+2, n! +3, ..., n! + n$ kaže da postoje $(n-1)$ uzastopnih brojeva. Međutim, čini se da postoje neke praznine ili nesposobnosti.	number-theory,prime-numbers
A.326	Svaki projekcijski modul je direktna suma slobodnih modula.	Čitao sam "Serial Rings" Gennadija Puninskog. Tamo piše da , "Svaka modul je homomorfska slika slobodnog modula, svaki projektivni modul je direktni zbir slobodnog modula". (tj. ako je $P$ projektivni modul, postoji slobodan modul F takav, $ F=P \oplus T$ za neki modul $T$.) Ali ne mogu razumjeti kako "Svaki modul je homomorfska slika slobodnog modula" podrazumijeva da "Svaki projektivni modul je direktni zbir slobodnog modula". (Našao sam dokaz za "Svaki projektivni modul je direktni zbir slobodnog modula" ali prvi dio gore navedene rečenice nije korišten tamo.)	modules,direct-sum,projective-module,free-modules
