A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.291	Sumiranje $n$ djelomičnih proizvoda kvadrata parnih brojeva se razlikuje, ali za parne brojeve oni se približavaju u ovoj seriji.	Dakle, imam sljedeće dvije serije: $$\sum_{n=1}^\infty \frac{\prod_{k=1}^n(2k)^2}{(2n+2)!}$$ $$\sum_{n=0}^\infty \frac{\prod_{k=0}^n(2k+1)^2}{(2n+3)!}$$ Ja sam shvatio $n$de djelomične proizvode: $$\prod_{k=1}^n(2k)^2=4^n(n!)^2$$ $$\prod_{k=0}^n (2k+1)^2=\frac{((2n+1)!)^2}{4^n(n!)^2}$$ Dakle, stavljajući ih natrag u moju seriju oni postaju sljedeći: $$\sum_{n=1}^\infty \frac{\prod_{k=1}^n(2k)^2}{(2n+2)!}=\sum_{n=1}^\infty\frac{4^n(n!)^2}{(2n+2)!}$$ Sada se razlikuje kako se očekuje od graničnog testa test. Međutim, kada pogledam moju drugu seriju: $$\sum_{n=0}^\infty \frac{\prod_{k=0}^n(2k+1)^2}{(2n+3)!}=\sum_{n=0}^\infty\frac{( (2n+1)!)^2}{4^n(n!)^2(2n+3)!}$$ Na graničnom testu možda se razlikuje ili možda ne, a test odnosa je neisključujući. Budući da nisam bio siguran što koristiti za test upoređenja bacio sam ovo u wolfram alfa i rekao mi je konverzije što je zbunljivo za mene jer su obje serije vrlo slične ako ih napisati: $$\sum_{n=1}^\infty \frac{\prod_{k=1}^n(2k)^2}{(2n+2)!}=\frac{2^2}{4!}+\frac{2^24^2}{6!}+\frac{2^24^26^2}{8!}\cdot\cdot\cdot\cdot$$th $$\sum_{n=0}^\infty \frac{\prod_{k=0}^n(2k+1)^2}{(2n+3)!}=\frac{1^2}{3!}+\frac{1^23^2}{5!}+\frac{1^23^25^2}{7!}+\cdot\cdot\cdot$$ Oba imaju brojni proizvod /odd čitav u kvadratu u pogrešnom konvergentor, i su iznad činjenice koja je dva puta veća od Q3, tako da nisam siguran zašto je jedan divergent i drugi parifram ili možda je nedostaje nešto kao što sam ovdje?	sequences-and-series,factorial,products
A.292	Nalazi granicu zaporedja $ \frac{x^n}{n^k}$ kao $n \to \infty$ za sve vrijednosti $ x > $0 i $k = 1, 2,\cdots$	Pokušao sam koristiti lemmu razmjera za rješavanje ovog pitanja i činjenica da $(n+1)^k \geq 1 + nk$ i nisam dospio do odgovora.	sequences-and-series,limits,analysis,exponentiation,ratio
A.293	Sumo $\sum_{j=2}^{n-1}j^2$ svojstva	Znam da mogu napraviti ovaj $\sum_{j=1}^{n-1}j^2 - \sum_{j=1}^{1}j^2$. Da li je to jednako $\frac{j(j+1)(2j+1)}{6} - j^2$ ili mi nedostaju neka svojstva $n-1$?	sequences-and-series,summation
A.294	Zašto ne postoji hiper-hiperkohomologija?	Tražim referenc za odgovor na pitanje u naslovu. Pokušavam malo objasniti što mislim: ako je jedan šah $\mathscr F$ $\mathscr G^\bullet$ rezoluciju ne nužno injektivnim predmetima, onda je uobičajena kohomologija $\mathscr F$ isomorfna hiperkohomologiji $\mathscr G^\bullet$: $$ H^i(X, \mathscr F) \cong \mathbb H^i(X,\mathscr G^\bullet). $$ Sada, ako je netko počeo sa kompleksom šah $\mathscr F^\bullet$ i "razloženjem" toga, odnosno kompleksom kompleksova $(\mathscr G^\bullet)^\bullet$, onda bi se trebao dotaknuti koncepta koji bi se mogao nazvati hiper-hiperkohomologija. Ipak, nikada nisam čuo za njegovo postojanje i prilično sam siguran da vam to ne daje ništa novo, čim radite u izvedenoj kategoriji.	sheaf-cohomology,derived-categories
A.295	Pomoć za izračun serija	Trebam pomoć s razumijevanjem kako riješiti ovaj zadatak, jer sam malo izgubljen u ovom trenutku.	summation,power-series
A.296	Malo zbunjen zbog Taylorove serije $e^x$	Znamo da je $$ e^x=\sum_{n=0}^{\infty}\frac{x^n}{n!},x\in \mathbb R, $$ koji se može napisati kao $$ e^x=\frac {x^0}{0!}+\frac {x^1}{1!}+\frac {x^2}{2!}+\cdots, $$, ali $0^0$ nije dobro definiran.	taylor-expansion,exponential-function
A.297	Teško pitanje	Ja sam zbunjen u vezi problema domaćeg zadatka koji imam, i ne znam gdje početi. Moram dokazati ovo. bilo kakva ideja gdje mogu početi.	totient-function
A.298	Promenljiva transformacija Diracove funkcije delta	U kontekstu moje fizičke probleme, u korist zainteresirane publike, $H(z)$ je Hubbleov parametar svemira dok je $\chi(z)$ udaljenost koja se kreće, a $z$ je crveni pomak bilo kojeg vremena u prošlosti. Dakle, dopustite mi da dođem do toga što sam do sada učinio: Počinjem definiranjem Dirac delta funkciju u obliku jedinične funkcije $\Theta (a\chi(z)-b)$as, $$\frac{d}{d(a\chi(z))}\Theta(a\chi(z)-b)=\delta(a\chi(z)-b)$$ Zatim preobrazvanjem u obliku z koji sadrži taj korak kao pravilo, molim vas, napisimo integralnu funkciju $$\delta(a\chi(z)-b) \rightarrow \delta(z-c)$$0 s pravilom $$\delta(a\chi(z)-b) \rightarrow \delta(z-c)$$1, tako da, nadam se, možete vidjeti da nakon što se koristi ovaj korak, također možete zamijeniti ovu funkciju, tako da, nakon što je napisano, možete vidjeti da je jedna strana funkcija $$\delta(a\chi(z)-b) \rightarrow \delta(z-c)$$1 također zamijenjena, tako da, takođe, nakon što je napisano, možete vidjeti da je jedna strana funkcija $$\delta(a\chi(z)-b) \rightarrow \delta(z-c)$$1 također zamijenjena, tako da, ako je riječ o tome, možete vidjeti da je jedna strana funkcija $$\delta(a\chi(z)-b) \rightarrow \delta(z-c)$$2, tako da, ako je riječ o tome, možete vidjeti da je jedna strana funkcija $$\delta(a\chi(z)-b) \rightarrow \delta(z-c)$$1 također zamijenjena.	transformation,dirac-delta,change-of-variable
A.299	Ispostavite $\cos \frac{\pi}5-\cos \frac{2 \pi}5=\frac12$ ali ne pronađite $\cos \frac{ \pi}5$	Mogu pronaći vrijednost $\cos \left(\frac{ \pi}{5}\right)$, ali postoji li način da dokažem jednadžbu bez pronalaska?	trigonometry,proof-writing,alternative-proof
A.300	Jednostavan kontinuitet ili ne?	Dakle, trebao sam saznati je li $$f(x)=\frac{1}{1+\ln^2 x}$$ jednako kontinuiran na $I=(0,\infty)$ Pa sam razmišljao puno. Mogu li reći da je $f$ kontinuiran na $[0,1]$ i stoga jednako kontinuiran ovdje? Ili je to ne važeće, jer $\ln$ nije definiran na $x=0$?	uniform-continuity
A.301	Nejednakost između norme 1, norme 2 i norme $\infty$ matricija	Pretpostavimo da je $A$ matrica $m\times n$. Zatim dokažite da, $\begin{equation*} \|A\|_2\leq \sqrt{\|A\|_1 \|A\|_{\infty}} \end{equation*}$ ja dokazao sljedeće odnose: $\begin{align*} \frac{1}{\sqrt{n}}\|A\|_{\infty}\leq \|A\|_2\leq\sqrt{m}\|A\|_{\infty}\\ \frac{1}{\sqrt{m}}\|A\|_{1}\leq \|A\|_2\leq\sqrt{n}\|A\|_{1} \end{align*}$ Također osjećam da nekako Holderova nejednakost za specijalni slučaj kad $p=1$ i $q=\infty$ možda biti korisna.Ali nisam mogao dokazati da. Edit: Ja bih želio imati dokaz koji ne koristi informacije da $\|A\|_2=\sqrt{\rho(A^TA)}$ Upotreba nejednakosti kao što su Cauchy Schwartz ili Holder je u redu.	linear-algebra,matrices,inequality,norm,holder-inequality
A.302	$n$ korijen kompleksnog broja	S $w=se^{i{\phi}}$, gdje $s\ge 0$ i $\phi \in \mathbb{R}$, riješite jednadžbu $z^n=w$ u $\mathbb{C}$ gdje $n$ je prirodni broj. Koliko rješenja ima? Sada je moj pristup jednostavno uzimajući $n$ korijen koji daje $$z=\sqrt[n]{s}e^{\frac{i\varphi}{n}}$$ Međutim, čini se da nas ovaj problem traži da pokažemo postojanje $n$ korijena. Mogu li pretpostaviti da $n$ korijen složenog broja već postoji?	real-analysis,calculus,complex-analysis,analysis
A.303	Broj ne-komutativnih Lie algebra dimenzije 2	Teorema- Do izomorfizma, jedina nekomutativna Lie algebra dimenzije 2 je da je s bazom $x , y$ i oklopom određeno $[x,y] = x$. Razumijem da su svi vektorski prostori dimenzije 2 na polju $K$ izomorfni jedni prema drugima. Dakle, broj lažnih algebra dimenzije 2 u polju $K$ određuje se brojem mogućih bilinearskih operacija [ ]$:\ V \ X \ V  \rightarrow V$ koji zadovoljavaju uvjete $a)$ $[x,x]=0$ za sve $x\in V$ $b)$ $[x,[y,z]]+[y,[z,x]]+[z,[x,y]]=0$ za sve $x , y$0 Bilinearne operacije na drugoj strani određuje se dokazom na koji su par elementima u bilinearskoj operaciji mapirani.	lie-algebras,noncommutative-algebra
A.304	U skladu s člankom 4. stavkom 1. stavkom 1. stavkom 1. točka 1.	Postoji li lak dokaz da neorijentabilna stvarna površina $X$ ne priznava kvazi-kompleksnu strukturu? dokaz koji znam je da se posmatra da svaka kvazi-kompleksna struktura na stvarnoj površini $X$ nužno zadovoljava uvjet integrabilnosti $$[T_X^{0,1}, T_X^{0,1}] \subset T_X^{0,1}$$ Newlander-Nirenbergove teoreme, jer je $T_X^{0,1}$ $1$ dimenzionalni kompleksni vektorski paket, a priklop $[-,-]$ se mijenja, odnosno nestane na $T_X^{0,1}$. Dakle, pomoću Newlander-Nirenbergove teoreme, $X$ priznaje kompleksnu strukturu, a kompleksni mnoštvo mora biti orijentirabilno. Međutim, Newlander-Nirenbergov teorema je dubok teorema i osjeća se malo pretjeran.	algebraic-geometry,reference-request,complex-geometry
A.305	Koja će biti vrijednost funkcije poda $\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^N\frac{1}{2^r}\right\rfloor$	Koja bi bila vrijednost funkcije poda $\lim\limits_{N\to\infty}\left\lfloor\sum\limits_{r=1}^N\frac{1}{2^r}\right\rfloor$ bi to bio $1$ ili bi to bio $0$ ? Formula koju koristim za ovo je ta beskonačne zbirne niz koji je $\frac{a}{1-r}$ ali nemam pojma kako da saznam što bi to bila vrijednost poda gornjeg izraza. P.s Ja sam srednjoškolca pa molim vas objasnite u jednostavnim terminima, i da znam osnovne kalkulacije.	summation
A.306	O iracionalnosti Eulerove Mascheronijeve konstante	Kad je u pitanju Eulerova Mascheronija, onda je u pitanju i jedna od ekspanzija Eulerove Mascheronijeve konstante u smislu Meissel Mertensove konstante kao posljedica Mertensove teoreme.	irrational-numbers,euler-mascheroni-constant
A.307	Carmichaelova funkcija i najveći množenik modulo n	Po definiciji, Carmichaelova funkcija kartiše $a $pozitivni cijeli broj $n$ na najmanji pozitivan cijeli broj $t$, tako da $a^t\equiv1\pmod n$ za sve čitav broj $a$ s $\gcd(a,n)=1$. označava se kao $\lambda(n)$.	elementary-number-theory,carmichael-function
A.308	Riemannova definicija zeta funkcije	Riemann je u svom radu iz 1859. godine izvodio integralnu reprezentaciju $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ koja je valjana za $\mbox{Re}(s)\gt 1$, a zatim je modifikovao integral kako bi definirao funkciju koja je definirana za sve složene vrijednosti $s$, osim $s=1$, gdje ima jednostavan pol. Proširenje je dato od strane $$\zeta(s)=\frac{\Gamma(1-s)}{2\pi i}\int_C \frac{(-z)^s}{e^z-1}\frac{dz}{z}$$ gdje je $C$ "Hankel kontur", odnosno put koji putuje od $+\infty $ na malu udaljenost $\epsilon$ iznad pozitivne osi $x$ , kruga oko izvorne tačke jednom u suprotnom smjeru s malom radiusom $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$0, a završava se u $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$1 koji putuje na udaljenosti $\epsilon$ ispod stvarne osi. Uzimanje stupnjeva $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ i $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$5, možemo vidjeti da je integralna vrijednost $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ i $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ i $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ i da možemo razumjeti kako se integralna vrijednost $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ i $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ i $$\zeta(s)=\sum_{n=1}^\infty\frac{1}{n^s}=\frac{1}{\Gamma(s)}\int_0^\infty \frac{x^{s-1}}{e^x-1}dx$$ počinje na istom putu, ali ne možemo znati kako se može početi, kako se može početi, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se može, kako se, kako se može, kako se može, kako se može, kako se može, kako se, kako se može, kako se može, kako se može, kako se, kako se može, kako se, kako se može, kako se može, kako se može, kako se, kako se može, kako se može, kako se može, kako, kako se može, kako se, kako se može, kako se, kako se može, kako se, kako se može, kako se može, kako, kako se može, kako se može, kako se može, kako se može, kako se, kako se može, kako se, kako se može, kako se može, kako se, kako se, kako se može, kako se može, kako se može, kako, kako se može, kako se može, kako se, kako se može, kako, kako se može, kako se može, kako se može, kako se može, kako se, kako, kako se može, kako se može, kako se, kako, kako se može, kako se, kako se može, kako se može, kako, kako se može, kako se, kako se može, kako, kako se, kako se može, kako, kako se može, kako se, kako se može, kako se može, kako, kako se može, kako se može, kako, kako se može, kako se, kako se, kako se, kako se može, kako, kako, kako se može, kako se može, kako, kako se može, kako se može, kako se, kako, kako se može, kako, kako, kako se može, kako se može, kako, kako se može, kako, kako, kako se može, kako se može, kako, kako, kako se može, kako, kako se može, kako, kako se može, kako se, kako, kako se može, kako se može, kako, kako se, kako se, kako se može, kako, kako se može, kako, kako, kako, kako se, kako, kako, kako, kako se može, kako se može, kako se, kako, kako, kako se može, kako, kako se može, kako, kako se može, kako, kako, kako se, kako, kako se može, kako se može, kako, kako, kako, kako se može, kako, kako se može, kako, kako, kako se, kako se, kako se može, kako, kako, kako, kako se	contour-integration,riemann-zeta
A.309	Broj rješenja jednačine na krajnjem polju	Imam pitanje u vezi s brojem rješenja jednačine nad krajnjim poljem $\mathbb{F}_p$. Prvo, razmislite o jednačnici $x^3=a$ nad $\mathbb{F}_p$, gdje je $p$ prvočlan tako da je $p\equiv 2 (\text{mod }3)$. Knjiga koju trenutno čitam kaže da ova jednačnjava ima točno jedno rješenje u $\mathbb{F}_p$ za svaki $a\in \mathbb{F}_p$, jer $\gcd(3,p-1)=1$, ali knjiga to ne dokazuje. Nažalost, to me ne uvjerava dovoljno. Postoji li uvjerljiv elementarni jednostavan dokaz koji opravdava zašto je to istina?	number-theory,elementary-number-theory,finite-fields
A.310	Pronaći pozitivne celine rješenja za $\frac{4}{x}+\frac{10}{y}=1$	Nađi pozitivne čitavosti rješenja za: $\frac{4}{x} + \frac{10}{y} = 1$ Ja sam izračunao rješenja ručno, ali to je bio vrlo naporan proces.	elementary-number-theory,solution-verification
A.311	S obzirom na funkciju $f(x)=\frac{9^{x}}{9^x+3}$, što je $f(\frac{1}{27})+ f(\frac{2}{27}) + f(\frac{3}{27})+ ...+ f(\frac{26}{27})$?	Dok sam prolazio kroz prethodne olimpijske matematičke radove, našao sam ovo pitanje bez ikakvog objašnjenja. Evo pitanja: uzimajući u obzir funkciju $f(x)=\frac{9^{x}}{9^x+3}$, što je $f(\frac{1}{27})+ f(\frac{2}{27}) + f(\frac{3}{27})+ ...+ f(\frac{26}{27})$? Odgovor je bio 13. Uzeo sam stvarno loš pristup i pretvorio $\frac{9^{x}}{9^x+3}$ u $1+\frac{9^{x}}{3}$, što sam onda primijetio da je pogrešno. Također sam slučajno pomnožio $9^{\frac{1}{27}}$ s $9^{\frac{2}{27}}$, $9^{\frac{2}{27}}$ s $9^{\frac{3}{27}}$, itd., prije nego sam shvatio da su funkcije dodane, a ne pomnožene. Sumnjam da postoji nešto u snazi $\frac{n}{27}$, jer je 9 mnoštvo od 27. Međutim, nisam potpuno siguran. Postoji li zakon koji mi govori kako riješiti ovo pitanje? Budući da je to matematičko olimpijsko pitanje, vjerojatno postoji maksimalni vremenski limit od pet minuta za obavljanje ovog pitanja. To znači da neću imati vremena za brze matematičke izračune s online i odgovarajućim alatom, što je vjerojatno brza rješenja, molim vas, na 8. razredu ili na najvjerojatnije najbržoj razini, što je najbržnije rješenje za brze matematičke izračune.	functions,contest-math,power-series,fractions
A.312	U skladu s člankom 4. stavkom 1. stavkom 1.	Kako možemo dokazati sljedeće? $$\left\lfloor \frac{\left\lfloor \dfrac{a}{b} \right\rfloor}{c} \right\rfloor = \left\lfloor \frac{a}{bc} \right\rfloor$$ za $a,b,c \in \mathbb{Z}^+$ Ne znam da li nešto radim pogrešno, ali ne mogu dokazati iako sam prilično siguran da je to istina. Očito, jer koncept algebre nije svjestan činjenice da ograničujemo promjenljive na pozitivne celine, i s obzirom na moju pretpostavku da jednakost ne važi nužno za ne-celene, element ne-algebričkog rješavanja problema je potreban, odnosno napraviti promjenu izraza s obzirom na naše znanje o tom uvjetom, koji zatim omogućuje algebričke manevre koji pokazuju da jednakost drži. Mislim da je to ono što mi nedostaje. Hvala.	elementary-number-theory,proof-writing,ceiling-and-floor-functions
A.313	Neka $a,b\in G$, konačna abelijanska grupa i $|a|=r, |b|=s$ s $\gcd(r,s)=1$.	Neka $a,b\in G$ bude krajnja abelijanska grupa i $|a|=r, |b|=s$ s $\gcd(r,s)=1$. Ispostavimo da $|ab|=rs$. Moj pokušaj: Neka $|ab|=n$. Budući da $G$ je abelijanski, $(ab)^n=a^nb^n=1$. Stoga $r\mid n$ i $s\mid n$. Zajedno s $\gcd(r,s)=1$, slijedi da $a,b\in G$0. Ovdje sam zaglavio; moramo pokazati da $a,b\in G$1.	group-theory,finite-groups,abelian-groups
A.314	Zatvoreni spain sekvencije u Hilbertovim prostorima.	Pretpostavimo da imate ortonomske baze $\{e_n\}$ u Hilbertovom prostoru poput $\sum \|e_n-x_n\| < 1$. Da li je ovo dovoljno da dokažemo da je zatvoreni razpon $\{x_n\}$ $H$? Moj napor da dokažem to nije doveo nikamo obećavajuće. Pokušao sam pokazati da je jedini vektor koji je u pravcu svih $x_n$ bio $0$. Nisam siguran kojim putem mogu nastaviti.	functional-analysis,hilbert-spaces
A.315	Indukcija u potrazi za povratkom (vježba 2.2.6) Analiza 1 Terence Tao	Želim pokazati svoj "dokaz" povratne indukcije jer imam neke poteškoće u razumijevanju toga. Želim sada ako je moj dokaz u pravu ili imam neku pogrešku, jer ako jesam, $a $ ne može to zaključiti. Bilo kakav povratak je cijenjen. Neka $n$ bude prirodni broj, a neka $P(m)$ bude svojstvo prirodne brojeve tako da kad je $P(m\text{++})$ istinito, onda je $P(m)$ istinito. Pretpostavimo da je $P(n)$ također istinito. Ispostavimo da je $P(m)$ istinito za sve prirodne brojeve $m ≤ n$; to je poznato kao princip povratne indukcije. (Navod: indukcija promjenljivom $n$.) Prvo želim pokazati Q3 je Q78. $a $ $a $ $a $ $a $ $a $ $n$ $n$ $n$ $n$ Q1Z2 Q1Z2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q2Q	real-analysis,solution-verification,induction
A.316	Multiplikativ grupe parnih brojeva modulo moć dva	Želim razumjeti skupinu jedinica u ringu $\mathbb{Z}/2^m \mathbb{Z}$ za pozitivne celine $m$. Očekuje se da je to već bilo odgovoreno ovdje na MSE-u, ali do sada automatski prijedlozi nisu ga pojačali. Evo što razumijem: to je abelijanska skupina, stoga proizvod cikličnih. Također je redoslijed ove grupe $2^{m-1}$, tako da su redoslijedi faktora u proizvodu sve snage dva po Lagrangeovom teoremi. Sada su ovi uvjeti dovoljno ograničavajuci da se izračunaju prva nekoliko slučajeva ručno. Imamo $(\mathbb{Z}/2 \mathbb{Z})^* = C_1$, $(\mathbb{Z}/4 \mathbb{Z})^* = C_2$, $(\mathbb{Z}/8 \mathbb{Z})^* = C_2 \times C_2$, $(\mathbb{Z}/16 \mathbb{Z})^* = C_2 \times C_4$, $(\mathbb{Z}/32 \mathbb{Z})^* = C_2 \times C_8$. Počinjem vjerovati da imamo za $m > 1$ taj $\mathbb{Z}/2^m \mathbb{Z}$0, ali postoji li jednostavno konceptualno objašnjenje za to (ako je istina)?	elementary-number-theory
A.317	KZ1	Računati sljedeći integral: $$\int \frac{1}{\left(x^2+1\right)^n}dx$$ Ja dobio da je za $$n=1$$ vrijednost integral je $$\tan^{-1}x+C$$ i za $$n=2$$ $$x\left(\frac{1}{2\left(x^2+1\right)}+\frac{\tan \:^{-1}}{2x}\right)+C$$ Kako učiniti ostatak slučajeva?	integration
A.318	Kako dokazati $e^{x} \geq \left(1+\frac{x}{n}\right)^{n}$ za $n \geq 1$	Kako dokazati $e^{x} \geq \left(1+\frac{x}{n}\right)^{n}$ za $n \geq 1$? Mogu dokazati to za prirodne brojeve samo indukcijom, ali kako dokazati to za bilo kakav pravi $n \geq 1$? Počnimo s osnovnim slučajem $n=1$. Imamo $e^x \geq 1+x$ različitim metodama. Za indukcijski korak, pretpostavimo $e^{x} \geq \left(1+\frac{x}{n}\right)^{n}$.	calculus
